"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園"
"31","上島東公園","34.84951362","135.6678391","大阪府枚方市牧野北町７","2328.62","0.233","","1","","","1","","","","","","1","1","","1","","","","","","31","","","","3","0","0","0","0","0","0","3","",""
"32","上島南公園","34.84807492","135.6650949","枚方市牧野北町６−３","2839.54","0.284","","","","1","1","","","1","","","1","1","","1","","","","","1","16","","","","64","0","10","0","0","0","0","74","",""
"33","上之町公園","34.80824725","135.6435501","枚方市枚方上之町１４−１１","559.93","0.056","","","","","","","","","","","","","","1","","","","","1","19","","","","2","0","0","0","0","0","0","2","",""
"34","観月公園","34.78633738","135.6478115","枚方市香里ケ丘１１丁目２−１３","6307.57","0.631","","","","","","","","","","","","","","","","","","","","","","","","9","0","19","0","0","0","0","28","",""
"35","観音山公園","34.78889273","135.6532805","枚方市香里ケ丘１２丁目６−１６","7899.21","0.79","","","","","","","","","","","","","","","","3","","","","11","","","","101","0","0","0","0","0","0","101","ヤエザクラ",""
"36","菊丘東公園","34.80500119","135.6445118","枚方市菊丘町３１−６","953.76","0.095","","","","1","1","","","","","","","1","","1","","","3","","1","7","","","","16","0","0","0","0","0","0","16","",""
"37","菊丘南公園","34.79903228","135.6449834","枚方市菊丘南町５−２","970.12","0.097","","1","","","1","","1","","","","","","","1","","","2","","1","7","","","","24","0","0","0","0","0","0","24","",""
"38","菊丘公園","34.80503675","135.6421191","枚方市菊丘町１０−２","751.5","0.075","","","","1","","","","","","","1","","","1","","","1","","","8","","","","","","","","","","","","",""
"39","北楠葉公園","34.870496","135.6841328","枚方市北楠葉町３６−２６","722.65","0.072","","1","","","1","","","1","","","","","","1","","","","","1","4","","","","","","","","","","","","",""
"40","北谷川西公園","34.82389446","135.6968748","枚方市山田池東町１８−３５","1014.42","0.101","","","","","1","","","1","","","","","","1","","","1","","","4","","","","","","","","","","","","",""
"41","北谷川公園","34.82330656","135.6998255","枚方市長尾谷町３丁目８−３０","2805.10","0.281","","1","","","1","","","","","","","1","","","","","","","1","","","","","0","0","0","0","0","0","0","0","",""
"42","北谷公園","34.79501403","135.6474448","枚方市香里ケ丘７丁目２−３","4302.33","0.43","","","","","","","","","","","","","","","","","","","","5","","","","5","0","0","0","0","0","0","5","",""
"43","北山中央公園","34.84104839","135.7023279","枚方市北山１丁目３２−１０","2549.79","0.255","","","","","","","","","","","","","1","1","","","","","1","8","1","","","0","0","0","0","0","1","0","1","",""
"44","北山南公園","34.83734722","135.6996198","枚方市北山１丁目６２−８","2500.24","0.25","","","","","2","","","","","","","","","","","","","","1","1","1","","","0","0","0","0","0","0","5","5","",""
"45","北山公園","34.84495691","135.7029991","枚方市長尾家具町１丁目２−１２","20103.74","2.01","○","1","","","1","","","","","","","","1","1","","","","1","3","16","","","","27","0","0","0","0","0","0","27","ヤエアケボノ,ハクサンオオデマリ",""
"46","禁野車塚公園","34.81087654","135.656891","枚方市宮之阪５丁目３−１４","5830.95","0.583","","","","","","","","","","","","","1","1","","","","","","4","1","","","","","","","","","","","",""
"47","禁野本町遺跡公園","34.82163761","135.6606988","枚方市中宮北町１３−２０","500.15","0.05","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"48","九頭神廃寺跡公園（西）","34.83940176","135.6727707","枚方市牧野本町１丁目３２−２","1154.90","0.115","","","","","","","","","","","","","1","","","2","","","","2","1","","","0","0","2","1","0","0","0","3","",""
"49","楠葉中央公園","34.85941359","135.6807459","枚方市楠葉並木２丁目１５−３","10717.03","1.072","○","1","","","","","","","","","","","","1","","","","1","1","49","","","","53","0","0","0","0","0","3","56","ヤエザクラ,ハクサンオオデマリ",""
"50","楠葉中町西公園","34.86915472","135.6800425","枚方市楠葉中町２６−１０","842.39","0.084","","1","","","1","","","","","","1","","","1","","","","","1","3","","","","","","","","","","","","",""
"51","楠葉中町東公園","34.86802615","135.6828279","枚方市楠葉中町６７−４","601.93","0.06","","1","","","","","","","","","1","","","1","","","","","1","3","","","","3","0","0","0","0","0","0","3","",""
"52","楠葉東公園","34.86072875","135.6918169","枚方市 くずはアベニュー","26716.87","2.672","○","","","1","2","","","","","","1","","","1","1","","3","1","2","38","","","","98","0","1","2","0","0","2","103","ヤエザクラ",""
"53","百済寺跡公園","34.81569279","135.6607627","枚方市中宮西之町１−３０","21514.35","2.151","○","1","","","1","","1","","","","1","","","","1","","","1","1","11","","","","28","0","0","0","0","0","0","28","",""
"54","くにみの丘公園","34.80780408","135.7099953","枚方市津田山手１丁目１５−１２","13631.44","1.363","○","","","","","","","","","","","","1","","","","","1","1","7","1","","","12","0","0","0","0","0","7","19","サトザクラ","○"
"55","車谷公園","34.84486006","135.7090602","枚方市長尾家具町２丁目３−１９","5537.17","0.554","","","","1","","","","","","","","","2","1","","","","1","1","3","","","","31","0","0","0","0","0","0","31","",""
"56","車塚公園","34.8335464","135.6690309","枚方市小倉東町４０−１","50164.51","5.016","○","","","","1","","","","","","","","","1","","9","","1","2","25","2","","3","27","15","3","8","28","0","1","82","薄墨桜",""
"57","桑ヶ谷公園","34.79585598","135.6594299","枚方市香里ケ丘１丁目４−２","12066.89","1.207","○","","","","","","","","","","","","","","","","","","","2","","","","5","0","0","0","0","0","0","5","",""
"58","けやき坂公園","34.82529551","135.7019713","枚方市長尾谷町２丁目５２５","1860.03","0.186","","","","1","1","","","","","","","","","1","","","1","","1","6","","","","0","0","0","0","0","10","0","10","",""
"59","甲須公園","34.82079531","135.6760639","枚方市甲斐田新町２１−１４","2674.08","0.267","","","","","1","","","","","","","1","","1","","","","","1","5","2","","","4","0","0","0","0","0","0","4","",""
"60","交北北公園","34.83045842","135.682009","枚方市交北３丁目１０−５","733.44","0.073","","","","","1","","","","","","","","","","","","","","1","5","","","","","","","","","","","","",""
"61","交北公園","34.8285473","135.6812548","枚方市交北４丁目５６０−２","31746.00","3.175","○","","","","2","","","","","","","","2","2","","7","","1","1","52","3","","","49","0","0","2","0","9","0","60","","○"
"62","高野道東公園","34.84713223","135.6991303","枚方市高野道２丁目３４−２６","999","0.1","","1","","","1","","","1","","","","","","","","","2","","1","4","","","","3","0","0","0","0","0","0","3","",""
"63","高野道南公園","34.84846889","135.6992095","枚方市高野道２丁目４３−２","2039.18","0.204","","1","","","2","","1","","","","","2","","1","","","","1","2","13","","","","","","","","","","","","",""
"64","高野道公園","34.8508206","135.7018691","枚方市高野道２丁目２０ 東高野街道","579.65","0.058","","","","","1","","","1","","","","","","1","","","","","1","2","","","","0","0","0","0","0","0","6","6","ヤエザクラ",""
"65","香陽北公園","34.78756643","135.653107","枚方市香里ケ丘１１丁目３５−５２","1125.48","0.113","","","","","1","","","1","","","","1","","1","","","","","","3","","","","","","","","","","","","",""
"66","香陽公園","34.78599648","135.6513289","枚方市香里ケ丘１１丁目２０−３９","784.28","0.078","","","","","1","","","1","","","","1","","1","","","","","","4","","","","3","0","0","0","0","0","0","3","",""
"67","香里ヶ丘中央公園","34.79140629","135.6522528","枚方市香里ケ丘３丁目１１−２９","26192.00","2.619","○","","","","1","","","","","","","","","1","","","","1","1","27","1","1","","48","0","0","0","0","0","0","48","エドヒガン,ハクサンオオデマリ",""
"68","香里ヶ丘西公園","34.79306705","135.6463783","枚方市香里ケ丘８丁目１８−２","9495.39","0.95","","1","","1","1","","","1","","","","","","1","1","","","","1","9","","","","20","0","0","0","0","0","0","20","",""
"69","香里ヶ丘東公園","34.79070928","135.6572884","枚方市香里ケ丘１２丁目１８−９","11408.22","1.141","○","","","","","","","1","","","","","","","","","","","","4","","","","16","0","0","0","0","0","0","16","コウヨウザクラ,ハクサンオオデマリ",""
"70","香里ヶ丘南公園","34.7860374","135.6453645","枚方市香里ケ丘１０丁目３７３５−１２","19830.50","1.983","","","","1","1","","","1","","","1","1","","","","","","","1","4","","","","53","0","0","0","0","0","0","53","",""
"71","香里の森公園","34.7890981","135.6375818","枚方市香里園山之手町５２−２","5190.81","0.519","","1","","","1","","1","","","","","","","1","","","","1","2","8","2","","","25","0","0","0","0","0","0","25","",""
"72","香里ヒルズ北公園","34.79756719","135.636241","枚方市東中振２丁目１−３２","1257.67","0.126","","","","","1","","","","","","","1","","1","","","","","1","4","","","","","","","","","","","","",""
"73","香里ヒルズ中央公園","34.79466593","135.6402977","枚方市東中振２丁目２８−３","2068.61","0.207","","","","1","1","","","1","","","","","","1","","","","","1","6","1","","","","","","","","","","","",""
"74","五常公園","34.79855533","135.6464949","枚方市香里ケ丘６丁目３−１５","3097.60","0.31","","","","","1","","","1","","","","","1","1","","","","","1","5","","","","9","0","0","0","0","0","0","9","",""
"75","御殿山公園","34.82943287","135.6565378","枚方市渚本町１２−６０","702.7","0.07","","","","1","1","","","","","","","","","1","","","","","1","3","","","","10","0","0","0","0","0","0","10","",""
"76","阪今池公園","34.83978437","135.6646785","枚方市黄金野１丁目３−５１","18854.47","1.885","○","","","","1","","","","","","","","1","1","","","","1","1","16","","","","15","0","0","0","0","0","0","15","",""
"77","桜丘公園","34.8057919","135.6682901","枚方市桜丘町４５−２","635.53","0.064","","","","","1","","","","","","","","","1","","","","","1","3","1","","","3","0","0","0","0","4","0","7","",""
"78","桜公園","34.79434208","135.6536442","枚方市宮之下町２４−１","6414.12","0.641","","","","","","","1","","","","","1","1","1","","","","","1","10","4","","","56","0","0","0","0","0","0","56","",""
"79","笹谷公園","34.84139938","135.7083187","枚方市長尾家具町２丁目１４","6360.82","0.636","","1","","","1","","","","","","1","1","","1","","","","1","1","7","","","","7","0","0","0","0","4","0","11","",""
"80","さだ山公園","34.79091432","135.6438264","枚方市香里ケ丘８丁目２７−７","4137.83","0.414","","","","1","1","","","1","","","","1","","1","","","","","1","10","","","","5","0","0","2","0","0","0","7","",""
"81","さつき丘北公園","34.80355485","135.6479253","枚方市山之上西町６−３４","3056.78","0.306","","","","1","1","","","","","","1","1","","1","","","","","1","7","","","","22","0","0","0","0","0","0","22","ヤエザクラ",""
"82","さつき丘中央公園","34.80176061","135.6485058","枚方市山之上西町１６−２２","1104.97","0.11","","","1","","1","","","","","","","","","1","","","","","1","7","","","","1","0","0","0","0","0","0","1","",""
"83","さつき丘南公園","34.80006351","135.6472115","枚方市山之上５丁目３７−１","1511.50","0.151","","","","","","","","","","","","","1","1","","","","","1","5","","","","9","0","0","0","0","0","0","9","",""
