NO,名　　　　称,緯度,経度,所在地,面積（㎡）,面積（ha）,一時緊急　　　避難地,ブランコ _2連 ,ブランコ_3連,ブランコ_4連,スベリ台,低鉄棒_１連,低鉄棒_２連,低鉄棒_３連,低鉄棒_４連,低鉄棒_５連,シーソー,ジャングルジム,複合遊具_鋼製,砂場,ラダー,健康遊具,ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ,便所,水飲,ベンチ,四阿・ｼｪﾙﾀｰ,駐車場有料施設専用,駐車場,桜_ソメイヨシノ,桜_オオシマザクラ,桜_カンヒザクラ,桜_シダレザクラ,桜_カワズザクラ　,桜_ヤマザクラ,桜_その他,桜_合計,桜_その他品種,景色の良い公園
33,上之町公園,34.80824725,135.6435501,枚方上之町地内,559.93,0.056,,,,,,,,,,,,,,1,,,,,1,19,,,,2,0,0,0,0,0,0,2,,
34,観月公園,34.78633738,135.6478115,香里ヶ丘１０丁目地内,"6,307.57",0.631,,,,,,,,,,,,,,,,,,,,,,,,9,0,19,0,0,0,0,28,,
35,観音山公園,34.78889273,135.6532805,香里ヶ丘４丁目地内,"7,899.21",0.79,,,,,,,,,,,,,,,,3,,,,11,,,,101,0,0,0,0,0,0,101,ヤエザクラ,
36,菊丘東公園,34.80500119,135.6445118,菊丘町地内,953.76,0.095,,,,1,1,,,,,,,1,,1,,,3,,1,7,,,,16,0,0,0,0,0,0,16,,
37,菊丘南公園,34.79903228,135.6449834,菊丘町地内,970.12,0.097,,1,,,1,,1,,,,,,,1,,,2,,1,7,,,,24,0,0,0,0,0,0,24,,
38,菊丘公園,34.80503675,135.6421191,菊丘南町地内,751.5,0.075,,,,1,,,,,,,1,,,1,,,1,,,8,,,,,,,,,,,,,
39,北楠葉公園,34.870496,135.6841328,北楠葉町地内,722.65,0.072,,1,,,1,,,1,,,,,,1,,,,,1,4,,,,,,,,,,,,,
40,北谷川西公園,34.82389446,135.6968748,長尾谷町3丁目地内,"1,014.42",0.101,,,,,1,,,1,,,,,,1,,,1,,,4,,,,,,,,,,,,,
41,北谷川公園,34.82330656,135.6998255,山田池東町地内,"2,805.10",0.281,,1,,,1,,,,,,,1,,,,,,,1,,,,,0,0,0,0,0,0,0,0,,
42,北谷公園,34.79501403,135.6474448,香里ヶ丘７丁目地内,"4,302.33",0.43,,,,,,,,,,,,,,,,,,,,5,,,,5,0,0,0,0,0,0,5,,
43,北山中央公園,34.84104839,135.7023279,北山１丁目地内,"2,549.79",0.255,,,,,,,,,,,,,1,1,,,,,1,8,1,,,0,0,0,0,0,1,0,1,,
