"id","name","name_kana","address","area","area_ha","y","x","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","鋼製複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿(シェルター)","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery","english_name","english_address","",""
"021","小倉東公園","オグラヒガシコウエン","大阪府枚方市小倉東町26−6","557.49","0.06","34.83549387","135.669184","","1","","","1","","","1","","","1","","","1","","","","","","2","","","","2","0","0","0","0","0","0","2","","","","","573-1174","オオサカフ－ヒラカタシ－オグラヒガシマチ"
"022","御茶屋御殿跡展望広場公園","オチャヤゴテンアトテンボウヒロバコウエン","大阪府枚方市枚方元町1−21","1,982.06","0.20","34.81379284","135.6426304","","","","","","","","","","","","","","","","","","","1","6","1","","","0","0","0","4","0","7","0","11","","○","","","573-0052","オオサカフ－ヒラカタシ－ヒラカタモトマチ"
"023","開成公園","カイセイコウエン","大阪府枚方市香里ケ丘2丁目5","3,561.00","0.36","34.79206188","135.6565579","","","","","","","","","","","","","","","","","","","1","12","","","","0","0","0","0","0","0","27","27","ヤエザクラ","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"024","甲斐田公園","カイダコウエン","大阪府枚方市交北1丁目2−11","1,150.03","0.12","34.82832211","135.6716003","","1","","","1","","","","","","","1","","","","","","","1","2","","","","3","0","0","0","0","0","0","3","","","","","573-1161","オオサカフ－ヒラカタシ－コウホク"
"025","風見の丘公園","カザミノオカコウエン","大阪府枚方市津田山手1丁目30−1","2,501.66","0.25","34.80469931","135.7067307","","","","","","","","","","","","","","1","","","","","1","4","1","","","9","0","0","0","0","0","0","9","","","","","573-0128","オオサカフ－ヒラカタシ－ツダヤマテ"
"026","春日公園","カスガコウエン","大阪府枚方市高田2丁目25−45","3,436.39","0.34","34.78041053","135.6601077","","","","","1","","","","","","","","2","","","","","","1","8","","","","32","0","0","0","0","0","0","32","","","","","573-0073","オオサカフ－ヒラカタシ－コウダ"
"027","春日野公園","カスガノコウエン","大阪府枚方市春日野2丁目3−25","693.41","0.07","34.80925367","135.6897852","","","","","","","","","","","","","","","","","","","1","3","1","","","7","0","0","0","0","0","0","7","","","","","573-0131","オオサカフ－ヒラカタシ－カスガノ"
"028","春日元町公園","カスガモトマチコウエン","大阪府枚方市春日元町1丁目20−5","2,569.12","0.26","34.80263659","135.6881298","","","","1","1","","","1","","","","","2","1","","1","","","1","5","2","","","9","0","0","0","0","0","0","9","","","","","573-0135","オオサカフ－ヒラカタシ－カスガモトマチ"
"029","片鉾東公園","カタホコヒガシコウエン","大阪府枚方市片鉾東町32−3","884.49","0.09","34.83427296","135.6765658","","1","","","1","","1","","","","","","","","","","","","1","6","","","","1","0","0","0","0","0","0","1","","","","","573-1156","オオサカフ－ヒラカタシ－カタホコヒガシマチ"
"030","金崎公園","カナサキコウエン","大阪府枚方市楠葉朝日1丁目17−17","1,024.71","0.10","34.85725616","135.6876175","","1","","","1","","","","","","","","","1","","","","","1","4","","","","","","","","","","","","","","","","573-1111","オオサカフ－ヒラカタシ－クズハアサヒ"
"031","釜ヶ谷公園","カマガタニコウエン","大阪府枚方市長尾東町2丁目34−5","858.29","0.09","34.82767356","135.719349","","","","1","1","","","","","","1","","","1","","","","","","5","","","","3","0","0","0","0","0","0","3","","","","","573-0105","オオサカフ－ヒラカタシ－ナガオヒガシマチ"
"032","上島北公園","カミジマキタコウエン","大阪府枚方市牧野北町8","924.11","0.09","34.85055267","135.668434","","","","","","","","","1","1","","","","","","","","","","8","","","","2","0","0","0","0","0","0","2","","","","","573-1127","オオサカフ－ヒラカタシ－カミジマチョウ"
"033","上島町公園","カミジマチョウコウエン","大阪府枚方市上島町4−11","772.18","0.08","34.84772669","135.668336","","","","","","","","","","","","","1","1","","","","","1","10","","","","","","","","","","","","","","","","573-1127","オオサカフ－ヒラカタシ－カミジマチョウ"
"034","上島東公園","カミジマヒガシコウエン","大阪府枚方市牧野北町7","2,328.62","0.23","34.84951362","135.6678391","","1","","","1","","","","","","1","1","","1","","","","","","31","","","","3","0","0","0","0","0","0","3","","","","","573-1127","オオサカフ－ヒラカタシ－カミジマチョウ"
