"id","name","y","x","address","area","area_ha","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery"
"129","渚栄公園","34.83549093","135.6603861","大阪府枚方市渚栄町27−12","540.51","0.054","","","","","","","","","","","","","1","1","","","","","1","3","","","","2","0","0","0","0","0","0","2","",""
"130","渚西公園","34.83344871","135.6526486","大阪府枚方市渚西3丁目25−1","1823.35","0.182","","","","","1","","","","","","","","","1","","","","","1","6","1","","","4","0","0","0","0","0","0","4","",""
"131","渚東公園","34.83248629","135.6624303","大阪府枚方市渚東町30−12","827.96","0.083","","","","1","1","","","","","","","","","1","","","","","1","5","","","","5","0","0","0","0","1","0","6","",""
"132","渚公園","34.83296581","135.6609901","大阪府枚方市渚栄町6−27","1162.86","0.116","","1","","","1","","","","","","","","","1","","","","","1","4","","","","10","0","0","0","0","0","0","10","",""
"133","茄子作北公園","34.7898576","135.6629785","大阪府枚方市茄子作北町48−8","1146.00","0.115","","","","","","","","","","","","","1","1","1","","","","1","4","1","","","16","0","0","0","0","0","0","16","",""
"134","茄子作東公園","34.78502689","135.6699364","大阪府枚方市茄子作東町24−18","516","0.052","","","","","1","","","1","","","","1","","","","","","","1","3","","","","3","0","0","0","0","0","0","3","",""
"135","茄子作南公園","34.78224901","135.6680511","大阪府枚方市茄子作4丁目49−10","1346.13","0.135","","1","","","1","","","1","","","","","","1","1","","","","1","2","","","","2","0","0","0","0","0","0","2","",""
"136","七ツ松公園","34.85898088","135.6862426","大阪府枚方市楠葉朝日2丁目15−13","933.34","0.093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","西禁野公園","34.8206366","135.6531228","大阪府枚方市西禁野2丁目32−10","813.93","0.081","","1","","","","","","1","","","","","","1","","","","","1","3","1","","","","","","","","","","","",""
"138","西牧野公園","34.84547881","135.6625756","大阪府枚方市西牧野4丁目4−48","613.55","0.061","","","","","","","","","","","","","2","","","","","","1","6","1","","","1","0","0","0","0","0","0","1","",""
"139","二の宮公園","34.85377237","135.6811377","大阪府枚方市船橋本町1丁目712−2","2654.36","0.265","","","","1","1","","","","","","","1","","1","","","2","1","1","7","","","","7","0","0","0","0","1","0","8","",""
"140","登公園","34.86877806","135.687444","大阪府枚方市楠葉野田3丁目37−32","859.21","0.086","","","","1","1","","","","","","","","","1","","","","","1","2","","","","9","0","0","0","0","0","0","9","",""
"141","走谷公園","34.80143272","135.6327459","大阪府枚方市走谷2丁目25−1","979","0.098","","","","1","1","","","","","","","1","","","","","","","1","4","","","","","","","","","","","","",""
"142","花見の丘公園","34.81004985","135.7072681","大阪府枚方市津田山手1丁目3−14","1600.26","0.16","","","","","","","","","","","","","","","","","","","","7","","","","11","0","0","0","0","1","0","12","サトザクラ",""
"143","日置公園","34.83060766","135.6857577","大阪府枚方市招提南町3丁目9−5","4742.42","0.474","","","","1","","","","","","","","","","","1","2","","1","1","11","","","","1","0","0","0","0","0","0","1","",""
"144","東香里南町公園","34.77531117","135.655653","大阪府枚方市東香里南町1","510","0.051","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","",""
"145","東香里公園","34.78399054","135.6530722","大阪府枚方市東香里3丁目29−12","2866.45","0.287","","","","1","","","","1","","","","2","1","1","","","","","1","10","","","","9","0","0","0","0","0","0","9","ハクサンオオデマリ",""
"146","東長尾公園","34.82472511","135.7224315","大阪府枚方市長尾東町3丁目30−15","1187.32","0.119","","","","","1","","","","","","","","","1","","","","","","1","","","","2","0","0","0","0","0","0","2","",""
"147","東中振北公園","34.7986849","135.6432507","大阪府枚方市東中振1丁目23−1","501.8","0.05","","","","","1","","","1","1","","","1","","1","","","","","1","2","","","","4","0","0","0","0","0","0","4","",""
"148","東中振中央公園","34.79745433","135.6410161","大阪府枚方市東中振1丁目19−35","2138.29","0.214","","","","1","1","","","","","","","","","1","1","","","1","1","8","","","","6","0","0","0","0","0","0","6","",""
"149","東中振西公園","34.79678372","135.63883","大阪府枚方市東中振1丁目18−21","886.07","0.089","","1","","","1","","","","","","","1","","1","1","","","","1","7","","","","3","0","0","0","0","0","0","3","",""
"150","東中振南公園","34.79726142","135.6437264","大阪府枚方市東中振1丁目32−12","504.95","0.05","","","","","","","","","1","","","1","","1","","","","","1","2","","","","5","0","0","0","0","0","0","5","",""
"151","東山公園","34.85429067","135.6908052","大阪府枚方市楠葉面取町2丁目5−18","667.81","0.067","","","","","","","","","","","","","1","2","","","","","","7","","","","0","0","0","0","0","6","0","6","",""
"152","氷室台西公園","34.81019467","135.7272822","大阪府枚方市氷室台1丁目7−1","1363.87","0.136","","1","","","1","","","","","","","","","1","","","1","","","10","","","","","","","","","","","","",""
"153","氷室台南公園","34.80822906","135.7317298","大阪府枚方市氷室台1丁目34−7","3253.96","0.325","","1","","","3","","","1","","","","1","","1","","","2","","1","15","","","","16","0","0","0","0","0","0","16","",""
"154","平野公園","34.83570478","135.6803187","大阪府枚方市招提中町1丁目44−18","1123.23","0.112","","","","","","","","","","","","","1","1","","","","1","1","4","","","","0","0","0","0","0","0","3","3","サトザクラ",""
"155","藤阪西公園","34.82124841","135.6978007","大阪府枚方市藤阪西町1−4","1088.61","0.109","","","","1","","","","1","","","","","1","","1","","","","1","14","","","","7","0","0","0","0","0","0","7","",""
"156","藤阪東町北公園","34.81983168","135.7139996","大阪府枚方市藤阪東町3丁目4−3","628.78","0.063","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","0","0","0","2","",""
"157","藤阪東町中央公園","34.82085201","135.7112187","大阪府枚方市藤阪東町1丁目","4400.01","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","藤阪東町南公園","34.81877605","135.714484","大阪府枚方市藤阪東町3丁目9−7","1027.60","0.103","","","","","","","","","","","","","","","","","","","","","","","","13","0","0","0","0","3","0","16","",""
"159","藤阪東公園","34.82056515","135.700325","大阪府枚方市藤阪西町6−52","2137.33","0.214","","","","","","","","","","","","","","","","","","","1","6","","","","0","10","0","0","0","0","0","10","",""
"160","藤阪宮山公園","34.81626579","135.7090857","大阪府枚方市藤阪天神町19−9","1712.53","0.171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","藤阪公園","34.82074563","135.7029319","大阪府枚方市藤阪元町3丁目18−2","806.61","0.081","","1","","","1","","1","","","","","","","1","","","","","1","4","","","","4","0","0","0","0","0","1","5","ヤエザクラ",""
"162","武生田公園","34.79861741","135.7263033","大阪府枚方市尊延寺5丁目52−4","3100.00","0.31","","","","1","1","","","1","","","","","","1","","","","","","13","","","","9","0","0","0","0","0","0","9","",""
"163","船橋公園","34.85374795","135.6843545","大阪府枚方市東船橋1丁目29−3","2097.98","0.21","","","","1","1","","","","","","","","","1","","","2","","1","7","1","","","3","0","2","0","0","0","0","5","",""
"164","古城公園","34.80242336","135.7059047","大阪府枚方市津田南町2丁目37−1","1578.11","0.158","","1","","","","","","1","","","","1","","","","","","","1","","","","","0","0","0","0","0","9","0","9","",""
"165","坊主池公園","34.80867929","135.6460809","大阪府枚方市岡山手町11−72","7695.90","0.77","","","","","1","","","","","","","1","","1","","","3","","1","14","1","","","0","0","13","0","0","0","3","16","サトザクラ",""
"166","星ケ丘公園","34.80947404","135.6616322","大阪府枚方市星丘2丁目10−37","4472.12","0.447","","1","","","","","","1","","","","","1","1","","7","2","","1","7","1","","","","","","","","","","","",""
"167","穂谷公園","34.79557435","135.7290922","大阪府枚方市穂谷2丁目2−22","1236.65","0.124","","1","","","","","","","","","","","","","","","","1","","3","1","","","","","","","","","","","",""
"168","牧野公園","34.84212578","135.6685253","大阪府枚方市牧野阪2丁目15","10747.33","1.075","○","","","1","1","","","","","","","1","1","2","","","3","2","1","15","","","","30","2","0","4","0","0","9","45","ヤエザクラ",""
"169","松美ヶ丘公園","34.83326691","135.7027577","大阪府枚方市長尾西町3丁目10−3","521","0.052","","","","","","","","","","","","","1","","","","","","1","3","1","","","","","","","","","","","",""
"170","三矢公園","34.81479311","135.6421697","大阪府枚方市三矢町6−10","819.57","0.082","","","","","","","","","","","","","1","","","2","","1","1","1","1","","","3","0","0","1","0","0","0","4","",""
"171","南谷公園","34.79030352","135.6466116","大阪府枚方市香里ケ丘8丁目21−10","3280.70","0.328","","","","1","","","","","","","","1","","","","","","","1","5","","","","","","","","","","","","",""
"172","南中振公園","34.79392268","135.6291359","大阪府枚方市南中振2丁目4−7","2542.97","0.254","","1","","","1","","","","","","","","","","","3","","","1","6","","","","9","1","4","0","0","0","5","19","サトザクラ",""
"173","南船橋公園","34.84970074","135.6821628","大阪府枚方市南船橋2丁目15−14","801.51","0.08","","1","","","","","","","","","","","1","1","","","","","1","5","","","","8","0","0","0","0","0","0","8","",""
"174","宮之阪東公園","34.81177417","135.6621127","大阪府枚方市宮之阪4丁目18−22","1353.60","0.135","","1","","","1","","","","","","","","","1","","","","","1","4","1","","","0","0","0","0","0","0","0","0","",""
"175","宮之阪公園","34.81271026","135.6583408","大阪府枚方市宮之阪3丁目12−1","555.49","0.056","","1","","","1","","1","","","","","1","","1","","","","","1","2","","","","","","","","","","","","",""
"176","村野西町公園","34.80013181","135.6619041","大阪府枚方市村野西町4","951.61","0.095","","1","","","1","","","1","","","","","","1","","","","","","4","","","","3","0","0","0","0","0","0","3","",""
"177","村野東町公園","34.80030468","135.6705973","大阪府枚方市村野東町27−7","490.44","0.049","","1","","","1","","","1","","","","","","","","","","","1","3","","","","","","","","","","","","",""
"178","村野南町公園","34.79900666","135.6626041","大阪府枚方市村野南町","3161.18","0.316","","","","","","","","1","","","","","1","1","","","","","1","4","","","","0","0","0","0","0","0","0","0","",""
"179","村野公園","34.80296253","135.6655698","大阪府枚方市村野本町9−2","1095.00","0.11","","","","1","1","","","","","","","1","","","","","","","","3","","","","15","0","0","0","0","0","0","15","",""
"180","三栗東公園","34.83579199","135.6598676","大阪府枚方市三栗1丁目17−20","809.49","0.081","","","","1","1","","","1","","","","","","1","","","","","1","4","","","","2","0","0","0","0","0","0","2","",""
"181","三栗南公園","34.83487289","135.6574727","大阪府枚方市三栗1丁目24−12","498.43","0.05","","","","1","1","","","","","","","","","1","","","","","1","3","","","","","","","","","","","","",""
"182","面取公園","34.85621427","135.6850233","大阪府枚方市楠葉朝日1丁目15−6","1038.76","0.104","","","","1","1","","","","","","","","","1","","","","","1","6","","","","","","","","","","","","",""
"183","薬師谷公園","34.82787843","135.7034306","大阪府枚方市長尾西町1丁目30−29","6513.00","0.651","","","","1","1","","","","","","","","","1","","","2","","1","3","","","","4","0","0","0","0","5","0","9","",""
"184","養父東公園","34.84568942","135.675069","大阪府枚方市養父東町5−1","3068.00","0.307","","","","1","1","","","","","","","","","1","","","","1","1","2","","","","3","0","0","0","0","0","0","3","",""
"185","養父元町公園","34.84909291","135.6719119","大阪府枚方市養父元町46−1","2661.05","0.266","","","","","","","","","","","","","1","1","","","","","1","12","1","","","0","2","0","0","0","0","0","2","",""
"186","山原公園","34.85201111","135.6874211","大阪府枚方市東船橋2丁目109−19","1415.24","0.142","","","","1","","","","","","","","","","1","","","","","1","2","1","","","6","0","0","0","0","0","0","6","",""
"187","淀見公園","34.79316149","135.6431202","大阪府枚方市香里ケ丘8丁目5","5426.24","0.543","","","","1","1","","","1","","","","1","","1","","","","","1","16","","","","52","0","0","0","0","0","7","59","",""
"188","らんぱん公園","34.84064134","135.6662145","大阪府枚方市牧野阪3丁目5−10","629","0.063","","","","","","","","","","","","","","","","","","","1","1","1","","","0","0","0","0","0","0","2","2","サトザクラ",""
"189","六反町公園","34.86080303","135.6866342","大阪府枚方市楠葉朝日3丁目7−10","1033.05","0.103","","1","","","1","","","1","","","","","","1","","","","","1","3","","","","","","","","","","","","",""
"190","わさ谷公園","34.7992363","135.6398789","大阪府枚方市東中振1丁目15−7","583.98","0.058","","1","","","1","","","","","","","","","1","","","","","1","4","","","","","","","","","","","","",""
"191","王仁公園","34.81796782","135.7069757","大阪府枚方市王仁公園1−1","92940.00","9.294","○","1","","","1","","1","","","","1","","","1","1","","","2","3","108","5","2","","267","21","10","2","0","64","65","429","ヤエベニシダレ",""
"192","藤阪北町西公園","34.82401603","135.7031792","大阪府枚方市藤阪北町1−7","","","","","","","1","","","1","","","","","","","","","","","","","","","","3","0","0","0","0","0","0","3","",""
"193","藤阪北町公園","34.82349736","135.7049549","大阪府枚方市藤阪北町4−13","","","","1","","","1","","","1","","","1","1","","1","","","","","","4","","","","4","0","0","0","0","0","0","4","",""
"194","北谷川緑地","34.82384639","135.7012825","大阪府枚方市長尾谷町3丁目10−1","","","","","","","","","","","","","","","","","","","","","","3","1","","","11","0","0","0","0","0","0","11","",""
"195","日置台緑地","34.83053099","135.6875657","大阪府枚方市招提南町3丁目23−10","","","","","","","","","","","","","","","","","","","","1","","10","","","","9","0","0","0","0","0","0","9","",""
"196","山之上北町公園","34.80419569","135.6494206","大阪府枚方市山之上西町5−12","","","","1","","1","1","","","1","","","","","","1","","","1","","","3","","","","","","","","","","","","",""
"197","伊加賀西町北公園","34.80704978","135.6252373","大阪府枚方市伊加賀西町55−18","","","","1","","","1","","","","","","","","","1","","","","","1","6","2","","","","","","","","","","","",""
"198","伊加賀西町東公園","34.80651338","135.6301376","大阪府枚方市伊加賀西町71","","","","1","","","1","","","","","","","","","1","","","","","1","5","","","","","","","","","","","","",""
"199","伊加賀西町南公園","34.80489099","135.6239008","大阪府枚方市伊加賀西町45−22","","","","","","1","","","","","","","","","1","1","","","","","1","7","2","","","2","0","0","0","0","0","0","2","",""
"200","伊加賀西町公園","34.80954097","135.6298305","大阪府枚方市伊加賀西町30−40","","","","","","1","1","","","","","","","","","1","","","","","1","6","2","","","7","0","0","0","0","0","1","8","",""
