"id","name","y","x","address","area","area_ha","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery"
"31","上島東公園","34.84951362","135.6678391","大阪府枚方市牧野北町7","2328.62","0.233","","1","","","1","","","","","","1","1","","1","","","","","","31","","","","3","0","0","0","0","0","0","3","",""
"32","上島南公園","34.84807492","135.6650949","大阪府枚方市牧野北町6−3","2839.54","0.284","","","","1","1","","","1","","","1","1","","1","","","","","1","16","","","","64","0","10","0","0","0","0","74","",""
"33","上之町公園","34.80824725","135.6435501","大阪府枚方市枚方上之町14−11","559.93","0.056","","","","","","","","","","","","","","1","","","","","1","19","","","","2","0","0","0","0","0","0","2","",""
"34","観月公園","34.78633738","135.6478115","大阪府枚方市香里ケ丘11丁目2−13","6307.57","0.631","","","","","","","","","","","","","","","","","","","","","","","","9","0","19","0","0","0","0","28","",""
"35","観音山公園","34.78889273","135.6532805","大阪府枚方市香里ケ丘12丁目6−16","7899.21","0.79","","","","","","","","","","","","","","","","3","","","","11","","","","101","0","0","0","0","0","0","101","ヤエザクラ",""
"36","菊丘東公園","34.80500119","135.6445118","大阪府枚方市菊丘町31−6","953.76","0.095","","","","1","1","","","","","","","1","","1","","","3","","1","7","","","","16","0","0","0","0","0","0","16","",""
"37","菊丘南公園","34.79903228","135.6449834","大阪府枚方市菊丘南町5−2","970.12","0.097","","1","","","1","","1","","","","","","","1","","","2","","1","7","","","","24","0","0","0","0","0","0","24","",""
"38","菊丘公園","34.80503675","135.6421191","大阪府枚方市菊丘町10−2","751.5","0.075","","","","1","","","","","","","1","","","1","","","1","","","8","","","","","","","","","","","","",""
"39","北楠葉公園","34.870496","135.6841328","大阪府枚方市北楠葉町36−26","722.65","0.072","","1","","","1","","","1","","","","","","1","","","","","1","4","","","","","","","","","","","","",""
"40","北谷川西公園","34.82389446","135.6968748","大阪府枚方市山田池東町18−35","1014.42","0.101","","","","","1","","","1","","","","","","1","","","1","","","4","","","","","","","","","","","","",""
"41","北谷川公園","34.82330656","135.6998255","大阪府枚方市長尾谷町3丁目8−30","2805.10","0.281","","1","","","1","","","","","","","1","","","","","","","1","","","","","0","0","0","0","0","0","0","0","",""
"42","北谷公園","34.79501403","135.6474448","大阪府枚方市香里ケ丘7丁目2−3","4302.33","0.43","","","","","","","","","","","","","","","","","","","","5","","","","5","0","0","0","0","0","0","5","",""
"43","北山中央公園","34.84104839","135.7023279","大阪府枚方市北山1丁目32−10","2549.79","0.255","","","","","","","","","","","","","1","1","","","","","1","8","1","","","0","0","0","0","0","1","0","1","",""
"44","北山南公園","34.83734722","135.6996198","大阪府枚方市北山1丁目62−8","2500.24","0.25","","","","","2","","","","","","","","","","","","","","1","1","1","","","0","0","0","0","0","0","5","5","",""
"45","北山公園","34.84495691","135.7029991","大阪府枚方市長尾家具町1丁目2−12","20103.74","2.01","○","1","","","1","","","","","","","","1","1","","","","1","3","16","","","","27","0","0","0","0","0","0","27","ヤエアケボノ,ハクサンオオデマリ",""
"46","禁野車塚公園","34.81087654","135.656891","大阪府枚方市宮之阪5丁目3−14","5830.95","0.583","","","","","","","","","","","","","1","1","","","","","","4","1","","","","","","","","","","","",""
"47","禁野本町遺跡公園","34.82163761","135.6606988","大阪府枚方市中宮北町13−20","500.15","0.05","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"48","九頭神廃寺史跡公園","34.83940176","135.6727707","大阪府枚方市牧野本町1丁目32−2","1154.90","0.115","","","","","","","","","","","","","1","","","2","","","","2","1","","","0","0","2","1","0","0","0","3","",""
"49","楠葉中央公園","34.85941359","135.6807459","大阪府枚方市楠葉並木2丁目15−3","10717.03","1.072","○","1","","","","","","","","","","","","1","","","","1","1","49","","","","53","0","0","0","0","0","3","56","ヤエザクラ,ハクサンオオデマリ",""
"50","楠葉中町西公園","34.86915472","135.6800425","大阪府枚方市楠葉中町26−10","842.39","0.084","","1","","","1","","","","","","1","","","1","","","","","1","3","","","","","","","","","","","","",""
"51","楠葉中町東公園","34.86802615","135.6828279","大阪府枚方市楠葉中町67−4","601.93","0.06","","1","","","","","","","","","1","","","1","","","","","1","3","","","","3","0","0","0","0","0","0","3","",""
"52","楠葉東公園","34.86072875","135.6918169","大阪府枚方市 くずはアベニュー","26716.87","2.672","○","","","1","2","","","","","","1","","","1","1","","3","1","2","38","","","","98","0","1","2","0","0","2","103","ヤエザクラ",""
"53","百済寺跡公園","34.81569279","135.6607627","大阪府枚方市中宮西之町1−30","21514.35","2.151","○","1","","","1","","1","","","","1","","","","1","","","1","1","11","","","","28","0","0","0","0","0","0","28","",""
"54","くにみの丘公園","34.80780408","135.7099953","大阪府枚方市津田山手1丁目15−12","13631.44","1.363","○","","","","","","","","","","","","1","","","","","1","1","7","1","","","12","0","0","0","0","0","7","19","サトザクラ","○"
"55","車谷公園","34.84486006","135.7090602","大阪府枚方市長尾家具町2丁目3−19","5537.17","0.554","","","","1","","","","","","","","","2","1","","","","1","1","3","","","","31","0","0","0","0","0","0","31","",""
"56","車塚公園","34.8335464","135.6690309","大阪府枚方市小倉東町40−1","50164.51","5.016","○","","","","1","","","","","","","","","1","","9","","1","2","25","2","","3","27","15","3","8","28","0","1","82","淡墨桜",""
"57","桑ヶ谷公園","34.79585598","135.6594299","大阪府枚方市香里ケ丘1丁目4−2","12066.89","1.207","○","","","","","","","","","","","","","","","","","","","2","","","","5","0","0","0","0","0","0","5","",""
"58","けやき坂公園","34.82529551","135.7019713","大阪府枚方市長尾谷町2丁目525","1860.03","0.186","","","","1","1","","","","","","","","","1","","","1","","1","6","","","","0","0","0","0","0","10","0","10","",""
"59","甲須公園","34.82079531","135.6760639","大阪府枚方市甲斐田新町21−14","2674.08","0.267","","","","","1","","","","","","","1","","1","","","","","1","5","2","","","4","0","0","0","0","0","0","4","",""
"60","交北北公園","34.83045842","135.682009","大阪府枚方市交北3丁目10−5","733.44","0.073","","","","","1","","","","","","","","","","","","","","1","5","","","","","","","","","","","","",""
"61","交北公園","34.8285473","135.6812548","大阪府枚方市交北4丁目560−2","31746.00","3.175","○","","","","2","","","","","","","","2","2","","7","","1","1","52","3","","","49","0","0","2","0","9","0","60","","○"
"62","高野道東公園","34.84713223","135.6991303","大阪府枚方市高野道2丁目34−26","999","0.1","","1","","","1","","","1","","","","","","","","","2","","1","4","","","","3","0","0","0","0","0","0","3","",""
"63","高野道南公園","34.84846889","135.6992095","大阪府枚方市高野道2丁目43−2","2039.18","0.204","","1","","","2","","1","","","","","2","","1","","","","1","2","13","","","","","","","","","","","","",""
"64","高野道公園","34.8508206","135.7018691","大阪府枚方市高野道2丁目20 東高野街道","579.65","0.058","","","","","1","","","1","","","","","","1","","","","","1","2","","","","0","0","0","0","0","0","6","6","ヤエザクラ",""
"65","香陽北公園","34.78756643","135.653107","大阪府枚方市香里ケ丘11丁目35−52","1125.48","0.113","","","","","1","","","1","","","","1","","1","","","","","","3","","","","","","","","","","","","",""
"66","香陽公園","34.78599648","135.6513289","大阪府枚方市香里ケ丘11丁目20−39","784.28","0.078","","","","","1","","","1","","","","1","","1","","","","","","4","","","","3","0","0","0","0","0","0","3","",""
"67","香里ヶ丘中央公園","34.79140629","135.6522528","大阪府枚方市香里ケ丘3丁目11−29","26192.00","2.619","○","","","","1","","","","","","","","","1","","","","1","1","27","1","1","","48","0","0","0","0","0","0","48","エドヒガン,ハクサンオオデマリ",""
"68","香里ヶ丘西公園","34.79306705","135.6463783","大阪府枚方市香里ケ丘8丁目18−2","9495.39","0.95","","1","","1","1","","","1","","","","","","1","1","","","","1","9","","","","20","0","0","0","0","0","0","20","",""
"69","香里ヶ丘東公園","34.79070928","135.6572884","大阪府枚方市香里ケ丘12丁目18−9","11408.22","1.141","○","","","","","","","1","","","","","","","","","","","","4","","","","16","0","0","0","0","0","0","16","コウヨウザクラ,ハクサンオオデマリ",""
